OBJECTID,NAME,OWNER,NOTES,CITY,FEATTYPE,STATUS,SOURCE,SOURCE_YEAR,ShapeSTArea,ShapeSTLength
2468,Creekview Greenbelt,City of Lewisville,,Lewisville,Local Park,Existing,Denton County,2020,521023.133789062,7505.17788701582
2469,Dish Town Park,Town of Dish,,Dish,Local Park,Existing,Denton County,2020,84038.9072265625,1726.71016855971
2470,L E L A,US Corps of Engineers,,Lewisville,Local Park,Existing,Denton County,2020,134102357.543945,85433.4254596263
2471,East Hill Park,US Corps of Engineers,,Lewisville,Local Park,Existing,Denton County,2020,10505816.1748047,23369.3241261702
2472,Elm Fork Park,US Corps of Engineers,,Denton,State Park or Forest,Existing,Denton County,2020,20690248.3935547,24027.891334415
2473,Greenbelt,US Corps of Engineers,,Denton,State Park or Forest,Existing,Denton County/PADUSA,2020,171995598.485352,140503.969764371
2474,Evers Park,City of Denton,,Denton,Local Park,Existing,City of Denton,2019,1371524.46386719,6829.61620308784
2475,Fish Trap Park,US Corps of Engineers,,Denton,Local Park,Existing,Denton County,2020,4935695.91699219,9663.11609786061
2476,Harbor Lane Park,US Corps of Engineers,,Hickory Creek,Local Park,Existing,Denton County,2020,636002.431640625,6538.04087792266
2477,Harlington Park,Chapel Springs HOA,,Highland Village,Local Park,Existing,Denton County,2020,169534.806640625,2589.0538221094
2478,Harmony Park,City of Trophy Club,,Trophy Club,Local Park,Existing,Denton County,2020,587014.14453125,3440.29040530317
2479,Community Pool,City of Trophy Club,,Trophy Club,Local Park,Existing,Denton County,2020,237200.348632812,2031.38029652195
2480,Isle Du Bois,US Corps of Engineers,,Uninc,State Park or Forest,Existing,Denton County,2020,61146093.9960938,77292.0987976596
2481,Jake's Place Park,City of Oak Point,,Oak Point,Local Park,Existing,Denton County,2020,364226.205078125,3298.80296560244
2482,John Porter Sports Complex,City of Sanger 4B Economic Dev Corp,,Sanger,Local Park,Existing,Denton County,2020,1771253.34179688,8167.83257637101
2483,Johnson Branch,US Corps of Engineers,,Uninc,State Park or Forest,Existing,Denton County,2020,46563850.8857422,95373.3009988132
2484,Jordan,US Corps of Engineers,,Uninc,State Park or Forest,Existing,Denton County,2020,17847580.1699219,53546.1581629582
2485,Trail Corridor,US Corps of Engineers,,Uninc,State Park or Forest,Existing,Denton County,2020,20533774.9921875,55668.262789626
2486,Justin Community Park,City of Justin,,Justin,Local Park,Existing,Denton County,2020,946840.575195312,4361.56801881044
2487,Krugerville City Park,City of Krugerville,,Krugerville,Local Park,Existing,Denton County,2020,150175.037109375,1585.29918599288
2488,Krum Baseball Fields and Library,City of Krum/Young Citizens of Krum,,Krum,Local Park,Existing,Denton County,2020,173444.403320312,1861.75088339712
2489,Lake Park,US Corps of Engineers,,Lewisville,Local Park,Existing,Denton County,2020,18268129.9814453,63625.2168585243
2490,Lions Club Park,City of Highland Village,,Highland Village,Local Park,Existing,Denton County,2020,147528.163085938,1555.24500553155
2491,Lower Sellmeyer Park,City of Highland Village,,Highland Village,Local Park,Existing,Denton County,2020,61937.25390625,1461.41915373437
2492,Marauder Park,City of Highland Village,,Highland Village,Local Park,Existing,Denton County,2020,127929.176757812,3097.25776753346
2493,Municipal Center,City of Lewisville,,Lewisville,Local Park,Existing,Denton County,2020,126119.916015625,1526.24829521588
2494,Murray Park,City of Highland Village,,Highland Village,Local Park,Existing,Denton County,2020,78117.6865234375,1554.53153919629
2495,Peninsula Park,City of Highland Village,,Highland Village,Local Park,Existing,Denton County,2020,953887.319335938,9706.37631373002
2496,Pilot Knoll Park,City of Highland Village,,Highland Village,Local Park,Existing,Denton County/PADUSA,2020,9183145.95214844,33343.4066269437
2497,Point Vista Park,US Corps of Engineers,,Hickory Creek,Local Park,Existing,Denton County,2020,260101.479492188,2697.72799706525
2498,Pond Creek,US Corps of Engineers,,Uninc,State Park or Forest,Existing,Denton County,2020,436219.663085938,3135.26840212366
2499,Providence Park,Providence HOA/380 Partners LTD,,Providence Village,Local Park,Existing,Denton County,2020,255247.684570312,2199.26428640505
2500,Highland Village Tennis Center,City of Highland Village,,Highland Village,Local Park,Existing,Denton County,2020,64003.267578125,1034.28651001086
2501,River Oaks Park,City of Lake Dallas,,Lake Dallas,Local Park,Existing,Denton County,2020,33109.375,733.557595074396
2502,Hawaiian Falls Roanoke,City of Roanoke,,Roanoke,Local Park,Existing,Denton County/DEVMON,2020,839021.110351562,5107.00866467709
2503,Greater Northwest Soccer Association,City of Roanoke,,Roanoke,Local Park,Existing,Denton County/Google,2020,495586.978515625,2973.54173193637
2504,Roanoke Recreation Center,City of Roanoke,,Roanoke,Local Park,Existing,Denton County/Google,2020,217179.338867188,1962.40416247607
2505,Sanger,US Corps of Engineers,,Uninc,State Park or Forest,Existing,Denton County,2020,1935321.56933594,8625.47465938273
2506,Savannah Park,City of Savannah,,Savannah,Local Park,Existing,Denton County,2020,366170.712890625,3181.44286218227
2507,Silverthorne Park,City of Highland Village,,Highland Village,Local Park,Existing,Denton County,2020,266176.096679688,3776.27067503347
2508,Skyline Park,City of Trophy Club,,Trophy Club,Local Park,Existing,Denton County,2020,85534.2373046875,1728.71964962604
2509,Sunset Point,City of Highland Village,,Highland Village,Local Park,Existing,Denton County,2020,42553.595703125,947.392508849882
2510,Tanglewood Park,City of Hickory Creek,,Hickory Creek,Local Park,Existing,Denton County,2020,29225.7490234375,803.788804348683
2511,Trophy Club Park,Town of Trophy Club,,Southlake,Local Park,Existing,Denton County,2020,39916564.1796875,76212.7662121037
2512,Unity Park,City of Highland Village,,Highland Village,Local Park,Existing,Denton County,2020,1551012.66113281,6144.78444731542
2513,Valley Vista Park,City of Lewisville,,Lewisville,Local Park,Existing,Denton County,2020,455231.021484375,5118.29024375308
2514,Village Park,City of Highland Village,,Highland Village,Local Park,Existing,Denton County,2020,623364.041992188,6240.88818723105
2515,Walnut Grove Park,US Corps of Engineers,,Southlake,Local Park,Existing,Denton County,2020,6749500.203125,22587.0253439191
2516,Wichita Forest Park,US Corps of Engineers,,Highland Village,Local Park,Existing,Denton County,2020,1090041.92480469,4483.07414664289
2517,YMCA Camp on the Lake,YMCA,Private Park,Highland Village,Local Park,Existing,Denton County,2020,529593.219726562,2982.03876522138
2518,Murrell Park,COE,,Flower Mound,Local Park,Existing,Town of Flower Mound/PADUSA,2020,10130021.2539062,34523.089278907
2519,Caruth Ridge HOA Pool,HOA,HOA Park,Rockwall,Local Park,Existing,City of Rockwall,2020,89079.685546875,1220.85150292412
2520,Chandlers HOA Playground,HOA,HOA Park,Rockwall,Local Park,Proposed,City of Rockwall,2020,78856.291015625,2512.68659680552
2521,Chandlers HOA Trails,HOA,HOA Park,Rockwall,Local Park,Proposed,City of Rockwall,2020,665744.234375,11127.0187977757
2522,Hickory Ridge HOA Pool,HOA,HOA Park,Rockwall,Local Park,Existing,City of Rockwall,2020,111194.90625,1392.97688285062
2523,Lake Pointe LRE Playground,Private,Private Park,Rockwall,Local Park,Existing,City of Rockwall,2020,14462.916015625,517.731123908352
2524,Lakeview Summit HOA Pool,HOA,HOA Park,Rockwall,Local Park,Existing,City of Rockwall,2020,22929.802734375,610.976832121535
2525,PPW HOA Park,HOA,HOA Park,Rockwall,Local Park,Existing,City of Rockwall,2020,46887.95703125,1313.8387318561
2526,Rockwall High School Training Field,RISD,RISD Park,Rockwall,Local Park,Existing,City of Rockwall,2020,245598.822265625,2083.67071810106
2527,Somerset Park HOA,HOA,HOA Park,Rockwall,Local Park,Existing,City of Rockwall,2020,28671.80078125,705.032489959791
2528,Briercliff Park,,Neighborhood,Denton,Local Park,Existing,City of Denton,2019,372638.859375,3122.41050310501
2529,Highland Meadows Greenbelt,,Greenbelt Park A,Rowlett,Local Park,Existing,City of Rowlett,2017,120698.958984375,2056.65382903509
2530,Oaks Branch Park,,,Garland,Local Park,Existing,City of Garland,2020,858800.96875,6690.70669385184
2531,Wynnwood Park,,,The Colony,Local Park,Existing,City of The Colony,2020,16228440.234375,41504.0146592526
2532,Great Trinity Greenbelt,Park,Special,Dallas,State Park or Forest,Existing,City of Dallas,2019,9137518.62207031,30373.6901428113
2533,Great Trinity Forest,Park,Special,Dallas,State Park or Forest,Existing,City of Dallas,2019,49701368.4550781,84758.1260173864
2534,Dayspring Nature Preserve,,Nature Preserve,Allen,Local Park,Existing,City of Allen/PADUSA,2019,1371878.40429688,7440.8763953017
2535,Murrell Park,,,Flower Mound,Local Park,Existing,ESRI Streets Base Map/PADUSA,2020,17499603.9511719,58735.8680880751
2536,Roanoke Skate Park,City of Roanoke,,Roanoke,Local Park,Existing,City Website/Google,2020,262635.908203125,2139.25521430956
2537,Alliance,,Community Park,Fort Worth,Local Park,Existing,City of Fort Worth,2019,7080363.54394531,13298.7423588721
2538,Arnold Park,,Pocket Park,Fort Worth,Local Park,Existing,City of Fort Worth,2019,148150.083007812,2666.87973664938
2539,Babbling Brook,,Neighborhood,Fort Worth,Local Park,Existing,City of Fort Worth,2019,377065.026367188,3705.22125654261
2540,Bronzewood,,Pocket Park,Fort Worth,Local Park,Existing,City of Fort Worth,2019,114506.42578125,1529.40621662326
2541,Bunche Park,,Pocket Park,Fort Worth,Local Park,Existing,City of Fort Worth,2019,439737.838867188,2684.17977690417
2542,Calmont,,Neighborhood,Fort Worth,Local Park,Existing,City of Fort Worth,2019,168172.176757812,1952.96389107955
2543,Casino Beach Park,,Community Park,Fort Worth,Local Park,Existing,City of Fort Worth,2019,1855332.51171875,6651.7785778555
